date,price
2024-02-07,1550
2024-02-14,1810
2024-02-21,1820
2024-02-28,1920
2024-03-06,1950
2024-03-13,1810
2024-03-20,1840
2024-03-27,1910
2024-04-03,1880
2024-04-09,2080
2024-04-17,2150
2024-04-24,2000
2024-04-30,2310
2024-05-08,2310
2024-05-14,2270
2024-05-22,2120
2024-05-29,1840
2024-06-05,2450
2024-06-12,2220
2024-06-19,1850
2024-06-26,2070
2024-07-03,2170
2024-07-10,2580
2024-07-17,2580
2024-07-24,3080
2024-07-31,3420
2024-08-07,3180
2024-08-14,3320
2024-08-21,3650
2024-08-28,4380
2024-09-04,4030
2024-09-11,3650
2024-09-19,3650
2024-09-25,3750
2024-10-02,3810
2024-10-08,3580
2024-10-16,3580
2024-10-23,3680
2024-10-30,3880
2024-11-06,3450
2024-11-20,3290
2024-11-27,3490
2024-12-04,2990
2024-12-11,3490
2024-12-18,3420
2024-12-24,3320
2024-12-31,2990
2025-01-08,3420
2025-01-15,3930
2025-01-22,3460
